State_Count,Date,State,Active,Deceased,Recovered,State_Name
1,13-May-20,KA,34,2,18,Karnataka
1,13-May-20,KL,10,0,1,Kerala
1,13-May-20,LA,1,0,0,Ladakh
1,13-May-20,LD,0,0,0,Lakshadweep
1,13-May-20,MH,1495,54,422,Maharashtra
1,13-May-20,ML,0,0,1,Meghalaya
1,13-May-20,MN,0,0,0,Manipur
1,13-May-20,MP,187,7,144,Madhya Pradesh
1,13-May-20,MZ,0,0,0,Mizoram
1,13-May-20,NL,0,0,0,Nagaland
1,13-May-20,OR,101,0,27,Odisha
1,13-May-20,PB,10,0,29,Punjab
1,13-May-20,PY,1,0,0,Puducherry
1,13-May-20,RJ,202,4,119,Rajasthan
1,13-May-20,SK,0,0,0,Sikkim
1,13-May-20,TG,41,2,117,Telangana
1,13-May-20,TN,509,3,41,Tamil Nadu
1,13-May-20,TR,1,0,0,Tripura
1,13-May-20,TT,3726,137,1963,Total
1,13-May-20,UN,0,0,0,State Unassigned
1,13-May-20,UP,94,4,92,Uttar Pradesh
1,13-May-20,UT,3,0,0,Uttarakhand
1,13-May-20,WB,117,9,90,West Bengal
1,14-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
1,14-Apr-20,AP,45,4,4,Andhra Pradesh
1,14-Apr-20,AR,0,0,0,Arunachal Pradesh
1,14-Apr-20,AS,1,0,0,Assam
1,14-Apr-20,BR,0,0,1,Bihar
1,14-Apr-20,CH,0,0,0,Chandigarh
1,14-Apr-20,CT,2,0,3,Chhattisgarh
1,14-Apr-20,DD,0,0,0,Daman and Diu
1,14-Apr-20,DL,51,2,0,Delhi
1,14-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
1,14-Apr-20,GA,0,0,0,Goa
1,14-Apr-20,GJ,78,2,5,Gujarat
1,14-Apr-20,HP,1,0,1,Himachal Pradesh
1,14-Apr-20,HR,2,0,4,Haryana
1,14-Apr-20,JH,3,0,0,Jharkhand
1,14-Apr-20,JK,8,0,14,Jammu and Kashmir
1,14-Apr-20,KA,13,2,11,Karnataka
1,14-Apr-20,KL,8,0,13,Kerala
1,14-Apr-20,LA,0,0,0,Ladakh
1,14-Apr-20,LD,0,0,0,Lakshadweep
1,14-Apr-20,MH,346,18,30,Maharashtra
1,14-Apr-20,ML,0,0,0,Meghalaya
1,14-Apr-20,MN,0,0,0,Manipur
1,14-Apr-20,MP,127,3,13,Madhya Pradesh
1,14-Apr-20,MZ,0,0,0,Mizoram
1,14-Apr-20,NL,0,0,0,Nagaland
1,14-Apr-20,OR,5,0,0,Odisha
1,14-Apr-20,PB,8,1,2,Punjab
1,14-Apr-20,PY,0,0,0,Puducherry
1,14-Apr-20,RJ,108,0,26,Rajasthan
1,14-Apr-20,SK,0,0,0,Sikkim
1,14-Apr-20,TG,52,1,7,Telangana
1,14-Apr-20,TN,31,1,23,Tamil Nadu
1,14-Apr-20,TR,0,0,0,Tripura
1,14-Apr-20,TT,1031,37,167,Total
1,14-Apr-20,UN,0,0,0,State Unassigned
1,14-Apr-20,UP,102,3,1,Uttar Pradesh
1,14-Apr-20,UT,2,0,2,Uttarakhand
1,14-Apr-20,WB,38,0,7,West Bengal
1,14-Jul-20,AN,5,0,20,Andaman and Nicobar Islands
1,14-Jul-20,AP,1916,43,1003,Andhra Pradesh
1,14-Jul-20,AR,75,0,8,Arunachal Pradesh
1,14-Jul-20,AS,859,6,757,Assam
1,14-Jul-20,BR,1432,9,655,Bihar
1,14-Jul-20,CH,12,2,23,Chandigarh
1,14-Jul-20,CT,114,1,73,Chhattisgarh
1,14-Jul-20,DD,0,0,0,Daman and Diu
1,14-Jul-20,DL,1606,35,1924,Delhi
1,14-Jul-20,DN,16,0,33,Dadra and Nagar Haveli and Daman and Diu
1,14-Jul-20,GA,170,1,67,Goa
1,14-Jul-20,GJ,915,14,749,Gujarat
1,14-Jul-20,HP,66,0,11,Himachal Pradesh
1,14-Jul-20,HR,699,4,453,Haryana
1,14-Jul-20,JH,262,3,77,Jharkhand
1,14-Jul-20,JK,346,8,128,Jammu and Kashmir
1,14-Jul-20,KA,2496,87,1142,Karnataka
1,14-Jul-20,KL,608,1,181,Kerala
1,14-Jul-20,LA,35,0,0,Ladakh
1,14-Jul-20,LD,0,0,0,Lakshadweep
1,14-Jul-20,MH,6741,213,4500,Maharashtra
1,14-Jul-20,ML,2,0,0,Meghalaya
1,14-Jul-20,MN,46,0,50,Manipur
1,14-Jul-20,MP,798,10,367,Madhya Pradesh
1,14-Jul-20,MZ,5,0,8,Mizoram
1,14-Jul-20,NL,51,0,6,Nagaland
1,14-Jul-20,OR,543,5,609,Odisha
1,14-Jul-20,PB,333,9,77,Punjab
1,14-Jul-20,PY,63,0,44,Puducherry
1,14-Jul-20,RJ,635,6,539,Rajasthan
1,14-Jul-20,SK,45,0,-1,Sikkim
1,14-Jul-20,TG,1524,10,1161,Telangana
1,14-Jul-20,TN,4526,67,4743,Tamil Nadu
1,14-Jul-20,TR,90,0,63,Tripura
1,14-Jul-20,TT,29917,587,20977,Total
1,14-Jul-20,UN,-179,0,0,State Unassigned
1,14-Jul-20,UP,1594,28,778,Uttar Pradesh
1,14-Jul-20,UT,78,1,11,Uttarakhand
1,14-Jul-20,WB,1390,24,718,West Bengal
1,14-Jun-20,AN,2,0,0,Andaman and Nicobar Islands
1,14-Jun-20,AP,294,2,131,Andhra Pradesh
1,14-Jun-20,AR,3,0,1,Arunachal Pradesh
1,14-Jun-20,AS,218,0,155,Assam
1,14-Jun-20,BR,186,1,289,Bihar
1,14-Jun-20,CH,2,0,0,Chandigarh
1,14-Jun-20,CT,121,3,88,Chhattisgarh
1,14-Jun-20,DD,0,0,0,Daman and Diu
1,14-Jun-20,DL,2224,56,878,Delhi
1,14-Jun-20,DN,4,0,0,Dadra and Nagar Haveli and Daman and Diu
1,14-Jun-20,GA,41,0,4,Goa
1,14-Jun-20,GJ,511,29,442,Gujarat
1,14-Jun-20,HP,16,0,17,Himachal Pradesh
1,14-Jun-20,HR,459,10,200,Haryana
1,14-Jun-20,JH,52,0,89,Jharkhand
1,14-Jun-20,JK,163,4,120,Jammu and Kashmir
1,14-Jun-20,KA,176,5,312,Karnataka
1,14-Jun-20,KL,54,0,56,Kerala
1,14-Jun-20,LA,112,0,12,Ladakh
1,14-Jun-20,LD,0,0,0,Lakshadweep
1,14-Jun-20,MH,3390,120,1632,Maharashtra
1,14-Jun-20,ML,0,0,3,Meghalaya
1,14-Jun-20,MN,9,0,18,Manipur
1,14-Jun-20,MP,161,12,300,Madhya Pradesh
1,14-Jun-20,MZ,2,0,0,Mizoram
1,14-Jun-20,NL,10,0,4,Nagaland
1,14-Jun-20,OR,186,1,114,Odisha
1,14-Jun-20,PB,77,2,29,Punjab
1,14-Jun-20,PY,18,1,9,Puducherry
1,14-Jun-20,RJ,293,10,229,Rajasthan
1,14-Jun-20,SK,5,0,0,Sikkim
1,14-Jun-20,TG,237,3,25,Telangana
1,14-Jun-20,TN,1974,38,1138,Tamil Nadu
1,14-Jun-20,TR,33,0,118,Tripura
1,14-Jun-20,TT,11405,324,7358,Total
1,14-Jun-20,UN,-548,0,0,State Unassigned
1,14-Jun-20,UP,497,14,393,Uttar Pradesh
